title,imdb_id,imdb_url,imdb_score,budget_in_millions,month_of_release,year_of_release,duration_in_hours,main_lang,total_number_languages,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor2_name,main_actor2_is_female,main_actor3_name,main_actor3_is_female,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
11:14,tt0331811,http://www.imdb.com/title/tt0331811/,7.2,6,5,2003,1.433333333,English,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Thomas,0,Blake Heron,0,Barbara Hershey,1,13,Greg Marcks,0,1,John Morrissey,2,Dan Lebental,Firm Films,3,Canada,2
9,tt0472033,http://www.imdb.com/title/tt0472033/,7.1,30,8,2009,1.316666667,English,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christopher Plummer,0,Martin Landau,0,John C. Reilly,0,10,Shane Acker,0,1,Timur Bekmambetov,7,Nick Kenway,Focus Films,5,United States of America,1
21,tt0478087,http://www.imdb.com/title/tt0478087/,6.8,35,3,2008,2.05,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jim Sturgess,0,Kevin Spacey,0,Kate Bosworth,1,13,Robert Luketic,0,1,Dana Brunetti,2,Elliot Graham,Columbia Pictures,2,United States of America,1
42,tt0453562,http://www.imdb.com/title/tt0453562/,7.6,40,4,2013,2.133333333,No Language,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chadwick Boseman,0,T.R. Knight,0,Harrison Ford,0,21,Brian Helgeland,0,1,Thomas Tull,1,Kevin Stitt,Warner Bros.,1,United States of America,1
54,tt0120577,http://www.imdb.com/title/tt0120577/,5.7,13,8,1998,1.766666667,English,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Phillippe,0,Salma Hayek,1,Breckin Meyer,0,34,Mark Christopher,0,1,Ira Deutchman,3,Lee Percy,Redeemable Features,4,United States of America,1
300,tt0416449,http://www.imdb.com/title/tt0416449/,7.8,65,12,2006,1.95,English,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Butler,0,Lena Headey,1,Dominic West,0,87,Zack Snyder,0,1,Gianni Nunnari,3,William Hoy,Virtual Studios,7,United States of America,1
1941,tt0078723,http://www.imdb.com/title/tt0078723/,5.9,35,12,1979,1.883333333,English,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dan Aykroyd,0,Ned Beatty,0,John Belushi,0,36,Steven Spielberg,0,1,Buzz Feitshans,1,Michael Kahn,Columbia Pictures,3,United States of America,1
2012,tt1190080,http://www.imdb.com/title/tt1190080/,5.8,200,10,2009,2.633333333,English,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Cusack,0,Amanda Peet,1,Chiwetel Ejiofor,0,52,Roland Emmerich,0,1,Aaron Boyd,7,David Brenner,Columbia Pictures,4,Canada,2
(500) Days of Summer,tt1022603,http://www.imdb.com/title/tt1022603/,7.8,7.5,7,2009,1.583333333,English,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Joseph Gordon-Levitt,0,Zooey Deschanel,1,Chloë Grace Moretz,1,23,Marc Webb,0,1,Steven J. Wolfe,4,Alan Edward Bell,Fox Searchlight Pictures,3,United States of America,1
101 Dalmatians,tt0115433,http://www.imdb.com/title/tt0115433/,5.6,54,11,1996,1.716666667,Český,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Close,1,Jeff Daniels,0,Joely Richardson,1,5,Stephen Herek,0,1,John Hughes,2,Larry Bock,Walt Disney Pictures,2,United Kingdom,2
102 Dalmatians,tt0211181,http://www.imdb.com/title/tt0211181/,4.8,85,10,2000,1.666666667,English,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Close,1,Ioan Gruffudd,0,Alice Evans,1,5,Kevin Lima,0,1,Edward S. Feldman,1,Gregory Perler,Walt Disney Pictures,2,United States of America,1
12 Angry Men,tt0050083,http://www.imdb.com/title/tt0050083/,8.9,0.34,3,1957,1.6,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Fonda,0,Martin Balsam,0,John Fiedler,0,17,Sidney Lumet,1,1,Henry Fonda,2,Carl Lerner,United Artists,2,United States of America,1
12 Years a Slave,tt2024544,http://www.imdb.com/title/tt2024544/,8.3,20,10,2013,2.233333333,English,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Chiwetel Ejiofor,0,Michael Fassbender,0,Lupita Nyongo,1,93,Steve McQueen,0,1,Brad Pitt,7,Joe Walker,Plan B Entertainment,5,United States of America,2
127 Hours,tt1542344,http://www.imdb.com/title/tt1542344/,7.7,18,11,2010,1.566666667,English,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Franco,0,Kate Mara,1,Amber Tamblyn,1,29,Danny Boyle,0,1,Danny Boyle,5,Jon Harris,Fox Searchlight Pictures,7,United Kingdom,2
13 Going on 30,tt0337563,http://www.imdb.com/title/tt0337563/,6.1,37,4,2004,1.633333333,English,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Jennifer Garner,1,Mark Ruffalo,0,Judy Greer,1,50,Gary Winick,0,1,Susan Arnold,3,Susan Littenberg,Columbia Pictures,3,United States of America,1
16 Blocks,tt0450232,http://www.imdb.com/title/tt0450232/,6.6,55,3,2006,1.75,English,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bruce Willis,0,Yasiin Bey,0,David Morse,0,21,Richard Donner,0,1,Randall Emmett,4,Steve Mirkovich,Donners Company,8,United States of America,2
2 Fast 2 Furious,tt0322259,http://www.imdb.com/title/tt0322259/,5.7,76,6,2003,1.783333333,English,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Walker,0,Tyrese Gibson,0,Eva Mendes,1,40,John Singleton,0,1,Neal H. Moritz,1,Dallas Puett,Mikona Productions GmbH & Co. KG,4,United States of America,1
2 Guns,tt1272878,http://www.imdb.com/title/tt1272878/,6.8,61,8,2013,1.816666667,Español,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denzel Washington,0,Mark Wahlberg,0,Paula Patton,1,44,Baltasar Kormákur,0,1,George Furla,7,Michael Tronick,Universal Studios,4,United States of America,1
"20,000 Leagues Under the Sea",tt0046672,http://www.imdb.com/title/tt0046672/,7.2,5,12,1954,2.116666667,English,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirk Douglas,0,James Mason,0,Paul Lukas,0,20,Richard Fleischer,0,1,Walt Disney,1,Elmo Williams,Walt Disney Productions,1,United States of America,1
200 Cigarettes,tt0137338,http://www.imdb.com/title/tt0137338/,5.8,6,2,1999,1.683333333,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ben Affleck,0,Casey Affleck,0,Dave Chappelle,0,11,Risa Bramon Garcia,1,1,David Gale,1,none,Paramount Pictures,1,United States of America,1
2001: A Space Odyssey,tt0062622,http://www.imdb.com/title/tt0062622/,8.3,10.5,4,1968,2.483333333,English,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Keir Dullea,0,Gary Lockwood,0,William Sylvester,0,60,Stanley Kubrick,0,1,Stanley Kubrick,2,Ray Lovejoy,Stanley Kubrick Productions,2,United Kingdom,2
21 & Over,tt1711425,http://www.imdb.com/title/tt1711425/,5.8,13,3,2013,1.55,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miles Teller,0,Skylar Astin,0,Justin Chon,1,13,Jon Lucas,0,2,David Hoberman,4,John Refoua,Relativity Media,4,United States of America,1
21 Grams,tt0315733,http://www.imdb.com/title/tt0315733/,7.8,20,9,2003,2.066666667,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sean Penn,0,Naomi Watts,1,Benicio del Toro,0,27,Alejandro González Iñárritu,0,1,Alejandro González Iñárritu,3,Stephen Mirrione,This Is That Productions,3,United States of America,1
21 Jump Street,tt1232829,http://www.imdb.com/title/tt1232829/,7.2,42,3,2012,1.816666667,English,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Channing Tatum,0,Jonah Hill,0,Brie Larson,1,19,Phil Lord,0,2,Stephen J. Cannell,2,Joel Negron,Columbia Pictures,5,United States of America,1
25th Hour,tt0307901,http://www.imdb.com/title/tt0307901/,7.7,15,12,2002,2.25,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edward Norton,0,Philip Seymour Hoffman,0,Barry Pepper,0,17,Spike Lee,0,1,Tobey Maguire,4,Barry Alexander Brown,40 Acres & A Mule Filmworks,2,United States of America,1
27 Dresses,tt0988595,http://www.imdb.com/title/tt0988595/,6.1,30,1,2008,1.85,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Katherine Heigl,1,James Marsden,0,Malin Åkerman,1,31,Anne Fletcher,1,1,Roger Birnbaum,3,Priscilla Nedd-Friendly,Spyglass Entertainment,3,United States of America,1
28 Days Later,tt0289043,http://www.imdb.com/title/tt0289043/,7.7,5,10,2002,1.883333333,Español,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Cillian Murphy,0,Naomie Harris,1,Noah Huntley,0,22,Danny Boyle,0,1,Andrew Macdonald,1,Chris Gill,DNA Films,2,United Kingdom,1
28 Weeks Later,tt0463854,http://www.imdb.com/title/tt0463854/,7,15,4,2007,1.666666667,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Imogen Poots,1,Robert Carlyle,0,Rose Byrne,1,52,Juan Carlos Fresnadillo,0,1,Andrew Macdonald,4,Chris Gill,DNA Films,6,Spain,2
3 Idiots,tt1187043,http://www.imdb.com/title/tt1187043/,8.5,9,12,2009,2.833333333,English,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Aamir Khan,0,Kareena Kapoor,1,Madhavan,0,20,Rajkumar Hirani,0,1,Vidhu Vinod Chopra,1,Rajkumar Hirani,Vidhu Vinod Chopra Productions,1,India,1
3:10 to Yuma,tt0381849,http://www.imdb.com/title/tt0381849/,7.8,55,9,2007,2.033333333,English,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Russell Crowe,0,Christian Bale,0,Logan Lerman,0,44,James Mangold,0,1,Cathy Konrad,1,Michael McCusker,Tree Line Films,4,United States of America,1
30 Days of Night,tt0389722,http://www.imdb.com/title/tt0389722/,6.6,30,10,2007,1.883333333,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Josh Hartnett,0,Melissa George,1,Ben Foster,0,42,David Slade,0,1,Sam Raimi,3,Art Jones,Columbia Pictures,4,New Zealand,2
30 Minutes or Less,tt1622547,http://www.imdb.com/title/tt1622547/,6.2,28,8,2011,1.383333333,English,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jesse Eisenberg,0,Danny McBride,0,Aziz Ansari,0,15,Ruben Fleischer,0,1,none,0,none,Columbia Pictures,1,United States of America,3
300: Rise of an Empire,tt1253863,http://www.imdb.com/title/tt1253863/,7,110,3,2014,1.7,English,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sullivan Stapleton,0,Eva Green,1,Lena Headey,1,42,Noam Murro,0,1,Gianni Nunnari,6,David Brenner,Legendary Pictures,6,United States of America,1
3000 Miles to Graceland,tt0233142,http://www.imdb.com/title/tt0233142/,5.9,62,2,2001,2.083333333,English,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kurt Russell,0,Kevin Costner,0,Courteney Cox,1,13,Demian Lichtenstein,0,1,Demian Lichtenstein,5,Michael J. Duthie,Franchise Pictures,3,United States of America,1
4: Rise of the Silver Surfer,tt0486576,http://www.imdb.com/title/tt0486576/,5.6,130,6,2007,1.533333333,English,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ioan Gruffudd,0,Jessica Alba,1,Chris Evans,0,18,Tim Story,0,1,Bernd Eichinger,3,Michael McCusker,Ingenious Film Partners,7,Germany,3
48 Hrs.,tt0083511,http://www.imdb.com/title/tt0083511/,6.9,12,12,1982,1.6,English,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Nolte,0,Eddie Murphy,0,Annette OToole,1,55,Walter Hill,0,1,Joel Silver,2,Freeman A. Davies,Paramount Pictures,1,United States of America,1
50 First Dates,tt0343660,http://www.imdb.com/title/tt0343660/,6.8,75,2,2004,1.65,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Adam Sandler,0,Drew Barrymore,1,Rob Schneider,0,55,Peter Segal,0,1,Jack Giarraputo,3,Jeff Gourson,Columbia Pictures Corporation,4,United States of America,1
50/50,tt1306980,http://www.imdb.com/title/tt1306980/,7.8,8,9,2011,1.666666667,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joseph Gordon-Levitt,0,Seth Rogen,0,Anna Kendrick,1,38,Jonathan Levine,0,1,Evan Goldberg,3,Zene Baker,Summit Entertainment,2,United States of America,1
8 Mile,tt0298203,http://www.imdb.com/title/tt0298203/,6.9,41,11,2002,1.833333333,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Eminem,0,Mekhi Phifer,0,Brittany Murphy,1,19,Curtis Hanson,0,1,Curtis Hanson,3,Jay Rabinowitz,Imagine Entertainment,2,United States of America,1
88 Minutes,tt0411061,http://www.imdb.com/title/tt0411061/,5.9,30,2,2007,1.8,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Al Pacino,0,Alicia Witt,1,Leelee Sobieski,1,15,Jon Avnet,0,1,Gary Scott Thompson,6,Peter E. Berger,TriStar Pictures,3,United States of America,1
8MM,tt0134273,http://www.imdb.com/title/tt0134273/,6.4,40,2,1999,2.05,English,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Nicolas Cage,0,Joaquin Phoenix,0,James Gandolfini,0,16,Joel Schumacher,0,1,Joel Schumacher,3,Mark Stevens,Columbia Pictures Corporation,3,United States of America,1
A Beautiful Mind,tt0268978,http://www.imdb.com/title/tt0268978/,8.2,60,12,2001,2.25,English,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ed Harris,0,Jennifer Connelly,1,Christopher Plummer,0,38,Ron Howard,0,1,Brian Grazer,4,Daniel P. Hanley,Imagine Entertainment,3,United States of America,1
A Bridge Too Far,tt0075784,http://www.imdb.com/title/tt0075784/,7.4,22,6,1977,2.916666667,English,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Dirk Bogarde,0,James Caan,0,Michael Caine,0,33,Richard Attenborough,0,1,Joseph E. Levine,3,Antony Gibbs,United Artists,2,United Kingdom,2
A Bronx Tale,tt0106489,http://www.imdb.com/title/tt0106489/,7.8,22,9,1993,2.016666667,English,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert De Niro,0,Chazz Palminteri,0,Lillo Brancato,0,31,Robert De Niro,0,1,Robert De Niro,3,David Ray,HBO Films,2,United States of America,1
A Bugs Life,tt0120623,http://www.imdb.com/title/tt0120623/,7.2,120,11,1998,1.583333333,English,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Spacey,0,Julia Louis-Dreyfus,1,Hayden Panettiere,1,16,Andrew Stanton,0,2,Darla K. Anderson,2,Lee Unkrich,Walt Disney Pictures,2,United States of America,1
A Christmas Carol,tt1067106,http://www.imdb.com/title/tt1067106/,6.8,200,11,2009,1.6,English,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gary Oldman,0,Jim Carrey,0,Steve Valentine,0,18,Robert Zemeckis,0,1,none,0,none,Walt Disney,2,United States of America,1
A Christmas Snow,tt1606191,http://www.imdb.com/title/tt1606191/,5.8,1,10,2010,1.866666667,English,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Catherine Mary Stewart,1,Muse Watson,0,Cameron Ten Napel,1,13,Tracy Trost,1,1,Chad Gundersen,1,none,none,0,United States of America,1
A Cinderella Story,tt0356470,http://www.imdb.com/title/tt0356470/,5.8,19,7,2004,1.583333333,Český,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hilary Duff,1,Jennifer Coolidge,1,Chad Michael Murray,0,67,Mark Rosman,0,1,Ilyssa Goodman,4,Cara Silverman,Gaylord Films,4,Canada,2
A Clockwork Orange,tt0066921,http://www.imdb.com/title/tt0066921/,8.4,2.2,12,1971,2.266666667,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Malcolm McDowell,0,Patrick Magee,0,Adrienne Corri,1,19,Stanley Kubrick,0,1,Stanley Kubrick,1,Bill Butler,Hawk Films,2,United Kingdom,2
A Countess from Hong Kong,tt0061523,http://www.imdb.com/title/tt0061523/,6,3.5,1,1967,2,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Marlon Brando,0,Sophia Loren,1,Tippi Hedren,1,12,Charlie Chaplin,0,1,Charlie Chaplin,2,Gordon Hales,Universal Pictures,2,United Kingdom,1
A Dirty Shame,tt0365125,http://www.imdb.com/title/tt0365125/,5.1,15,9,2004,1.483333333,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracey Ullman,0,Johnny Knoxville,0,Selma Blair,1,16,John Waters,0,1,none,0,Jeffrey Wolf,Fine Line Features,4,United States of America,1
A Few Good Men,tt0104257,http://www.imdb.com/title/tt0104257/,7.6,40,12,1992,2.3,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tom Cruise,0,Jack Nicholson,0,Demi Moore,1,16,Rob Reiner,0,1,Andrew Scheinman,3,Robert Leighton,David Brown Productions,1,United States of America,1
A Fish Called Wanda,tt0095159,http://www.imdb.com/title/tt0095159/,7.6,7.5,7,1988,1.8,English,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Cleese,0,Jamie Lee Curtis,1,Kevin Kline,0,24,Charles Crichton,0,1,Michael Shamberg,1,John Jympson,Metro-Goldwyn-Mayer (MGM),2,United Kingdom,2
A Good Day to Die Hard,tt1606378,http://www.imdb.com/title/tt1606378/,5.4,92,2,2013,1.633333333,English,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bruce Willis,0,Jai Courtney,0,Sebastian Koch,0,20,John Moore,0,1,Alex Young,2,Dan Zimmerman,Ingenious Media,9,United States of America,1
A Guy Named Joe,tt0035959,http://www.imdb.com/title/tt0035959/,7,2.627,3,1944,2,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Spencer Tracy,0,Irene Dunne,1,Van Johnson,0,14,Victor Fleming,0,1,Everett Riskin,1,Frank Sullivan,Metro-Goldwyn-Mayer (MGM),1,United States of America,1
A Hard Days Night,tt0058182,http://www.imdb.com/title/tt0058182/,7.7,0.56,7,1964,1.466666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,John Lennon,0,Paul McCartney,0,George Harrison,0,14,Richard Lester,0,1,Walter Shenson,2,John Jympson,Proscenium Films,3,United Kingdom,1
A Haunted House,tt2243537,http://www.imdb.com/title/tt2243537/,5,2.5,1,2013,1.433333333,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marlon Wayans,0,Essence Atkins,1,Nick Swardson,0,16,Michael Tiddes,0,1,Marlon Wayans,2,Suzanne Hines,Endgame Entertainment,4,United States of America,1
A Knights Tale,tt0183790,http://www.imdb.com/title/tt0183790/,6.9,65,5,2001,2.2,English,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Heath Ledger,0,Rufus Sewell,0,Shannyn Sossamon,1,16,Brian Helgeland,0,1,Brian Helgeland,3,Kevin Stitt,Columbia Pictures Corporation,4,United States of America,1
A League of Their Own,tt0104694,http://www.imdb.com/title/tt0104694/,7.1,40,7,1992,2.133333333,English,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tom Hanks,0,Geena Davis,1,Madonna,1,27,Penny Marshall,1,1,Robert Greenhut,1,George Bowers,Columbia Pictures,2,United States of America,1
A Life Less Ordinary,tt0119535,http://www.imdb.com/title/tt0119535/,6.4,12,10,1997,1.716666667,English,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ewan McGregor,0,Cameron Diaz,1,Holly Hunter,1,15,Danny Boyle,0,1,Andrew Macdonald,1,Masahiro Hirakubo,Channel Four Films,3,United Kingdom,2
A Little Princess,tt0113670,http://www.imdb.com/title/tt0113670/,7.7,17,5,1995,1.616666667,Nederlands,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liesel Matthews,1,Eleanor Bron,1,Liam Cunningham,0,9,Alfonso Cuarón,0,1,Mark Johnson,1,Steven Weisberg,Warner Bros.,1,United States of America,1
A Lonely Place to Die,tt1422136,http://www.imdb.com/title/tt1422136/,6.3,4,4,2011,1.65,English,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melissa George,1,Ed Speleers,0,Eamonn Walker,0,11,Julian Gilbey,0,1,Michael Loveday,1,none,Carnaby International,3,United Kingdom,1
A Lot Like Love,tt0391304,http://www.imdb.com/title/tt0391304/,6.6,30,4,2005,1.783333333,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ashton Kutcher,0,Amanda Peet,1,Aimee Garcia,1,14,Nigel Cole,0,1,Armyan Bernstein,2,Susan Littenberg,Mile High Productions,4,United States of America,1
A Man Apart,tt0266465,http://www.imdb.com/title/tt0266465/,6.1,36,4,2003,1.816666667,English,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vin Diesel,0,Larenz Tate,0,Timothy Olyphant,0,15,F. Gary Gray,0,1,Vin Diesel,6,William Hoy,New Line Cinema,4,Germany,2
A Man for All Seasons,tt0060665,http://www.imdb.com/title/tt0060665/,8,3.9,12,1966,2,English,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Paul Scofield,0,Wendy Hiller,1,Leo McKern,0,25,Fred Zinnemann,0,1,Fred Zinnemann,1,Ralph Kemplen,Columbia Pictures Corporation,2,United Kingdom,1
A Midsummer Nights Dream,tt0140379,http://www.imdb.com/title/tt0140379/,6.5,11,4,1999,1.933333333,English,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rupert Everett,0,Calista Flockhart,1,Kevin Kline,0,17,Michael Hoffman,0,1,Arnon Milchan,2,none,Fox Searchlight Pictures,3,Italy,3
A Mighty Heart,tt0829459,http://www.imdb.com/title/tt0829459/,6.7,16,1,2007,1.666666667,English,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Angelina Jolie,1,Dan Futterman,0,Irrfan Khan,0,15,Michael Winterbottom,0,1,Brad Pitt,3,Peter Christelis,Plan B Entertainment,3,France,4
A Mighty Wind,tt0310281,http://www.imdb.com/title/tt0310281/,7.3,6,4,2003,1.516666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bob Balaban,0,Christopher Guest,0,John Michael Higgins,0,20,Christopher Guest,0,1,Karen Murphy,1,Robert Leighton,Castle Rock Entertainment,1,United States of America,1
A Night at the Roxbury,tt0120770,http://www.imdb.com/title/tt0120770/,6.2,17,10,1998,1.35,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Ferrell,0,Chris Kattan,0,Jennifer Coolidge,1,15,John Fortenberry,0,1,Amy Heckerling,1,Jay Kamen,Paramount Pictures,2,United States of America,1
A Nightmare on Elm Street,tt0087800,http://www.imdb.com/title/tt0087800/,7.5,1.8,11,1984,1.516666667,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,John Saxon,0,Ronee Blakley,1,Heather Langenkamp,1,29,Wes Craven,0,1,Robert Shaye,3,Patrick McMahon,New Line Cinema,2,United States of America,1
A Nightmare on Elm Street 3: Dream Warriors,tt0093629,http://www.imdb.com/title/tt0093629/,6.5,5,2,1987,1.6,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Robert Englund,0,Patricia Arquette,1,Heather Langenkamp,1,28,Chuck Russell,0,1,Robert Shaye,1,Terry Stokes,New Line Cinema,2,United States of America,1
A Nightmare on Elm Street 4: The Dream Master,tt0095742,http://www.imdb.com/title/tt0095742/,5.6,7,8,1988,1.65,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Robert Englund,0,Tuesday Knight,1,Ken Sagoes,0,29,Renny Harlin,0,1,Robert Shaye,2,Michael N. Knue,New Line Cinema,1,United States of America,1
A Nightmare on Elm Street 5: The Dream Child,tt0097981,http://www.imdb.com/title/tt0097981/,5,8,8,1989,1.483333333,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Robert Englund,0,Lisa Wilcox,1,Erika Anderson,1,43,Stephen Hopkins,0,1,Rupert Harvey,2,Brent A. Schoenfeld,New Line Cinema,1,United States of America,1
