title,imdb_id,imdb_url,imdb_score,budget_in_millions,month_of_release,year_of_release,duration_in_hours,main_lang,total_number_languages,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor2_name,main_actor2_is_female,main_actor3_name,main_actor3_is_female,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
P2,tt0804516,http://www.imdb.com/title/tt0804516/,5.9,8,11,2007,1.633333333,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Wes Bentley,0,Rachel Nichols,1,Simon Reynolds,0,12,Franck Khalfoun,0,1,Patrick Wachsberger,4,none,Summit Entertainment,1,United States of America,1
Pacific Rim,tt1663662,http://www.imdb.com/title/tt1663662/,7.1,180,7,2013,2.183333333,English,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Idris Elba,0,Charlie Hunnam,0,Charlie Day,0,43,Guillermo del Toro,0,1,Guillermo del Toro,4,Peter Amundson,Legendary Pictures,4,United States of America,2
Pain & Gain,tt1980209,http://www.imdb.com/title/tt1980209/,6.5,25,4,2013,2.166666667,English,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mark Wahlberg,0,Dwayne Johnson,0,Anthony Mackie,0,25,Michael Bay,0,1,Michael Bay,3,Joel Negron,Paramount Pictures,2,United States of America,1
Pandorum,tt1188729,http://www.imdb.com/title/tt1188729/,6.8,33,9,2009,1.8,English,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Ben Foster,0,Dennis Quaid,0,Cam Gigandet,0,24,Christian Alvart,0,1,Jeremy Bolt,3,none,Impact Pictures,2,Germany,2
Panic,tt0194218,http://www.imdb.com/title/tt0194218/,6.8,1,12,2000,1.466666667,English,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,William H. Macy,0,John Ritter,0,Neve Campbell,1,5,Henry Bromell,0,1,Andrew Lazar,3,none,none,0,United States of America,1
Panic Room,tt0258000,http://www.imdb.com/title/tt0258000/,6.8,48,3,2002,1.85,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jodie Foster,1,Kristen Stewart,1,Forest Whitaker,0,16,David Fincher,0,1,Ceán Chaffin,4,James Haygood,Hofflund/Polone,2,United States of America,1
Papillon,tt0070511,http://www.imdb.com/title/tt0070511/,8.1,12,12,1973,2.516666667,English,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve McQueen,0,Dustin Hoffman,0,Victor Jory,0,16,Franklin J. Schaffner,0,1,Franklin J. Schaffner,2,Robert Swink,Solar Productions,3,United States of America,1
Paradise Road,tt0119859,http://www.imdb.com/title/tt0119859/,6.8,16,4,1997,2.033333333,No Language,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Glenn Close,1,Frances McDormand,1,Pauline Collins,1,20,Bruce Beresford,0,1,none,0,none,Fox Searchlight Pictures,3,Australia,2
Paranormal Activity,tt1179904,http://www.imdb.com/title/tt1179904/,6.4,0.015,9,2007,1.433333333,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Katie Featherston,1,Micah Sloat,0,Mark Fredrichs,0,5,Oren Peli,0,1,Jason Blum,3,Oren Peli,Blumhouse Productions,2,United States of America,1
Paranormal Activity 3,tt1778304,http://www.imdb.com/title/tt1778304/,5.9,5,10,2011,1.383333333,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Katie Featherston,1,Sprague Grayden,1,Lauren Bittner,1,11,Henry Joost,0,2,Jason Blum,3,Gregory Plotkin,Paramount Pictures,4,United States of America,1
ParaNorman,tt1623288,http://www.imdb.com/title/tt1623288/,7,60,8,2012,1.5,English,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kodi Smit-McPhee,0,Tucker Albrizzi,0,Jodelle Ferland,1,21,Sam Fell,0,2,Travis Knight,2,Christopher Murrie,Focus Features,2,United States of America,1
Parineeta,tt0437407,http://www.imdb.com/title/tt0437407/,7.4,6.25,6,2005,2.183333333,हिन्दी,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Saif Ali Khan,0,Vidya Balan,1,Sanjay Dutt,0,7,Pradeep Sarkar,0,1,none,0,none,none,0,India,1
Paris,tt0869994,http://www.imdb.com/title/tt0869994/,6.9,19,1,2008,2.166666667,Français,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Juliette Binoche,1,Romain Duris,0,Fabrice Luchini,0,22,Cédric Klapisch,0,1,Bruno Levy,1,Francine Sandberg,France 2 Cinéma,7,France,1
Parker,tt1904996,http://www.imdb.com/title/tt1904996/,6.2,35,1,2013,1.966666667,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jason Statham,0,Jennifer Lopez,1,Nick Nolte,0,31,Taylor Hackford,0,1,Taylor Hackford,6,Mark Warner,SND,1,United States of America,1
Passenger 57,tt0105104,http://www.imdb.com/title/tt0105104/,5.8,15,11,1992,1.4,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wesley Snipes,0,Bruce Payne,0,Tom Sizemore,0,15,Kevin Hooks,0,1,Dylan Sellers,3,Richard Nord,Warner Bros.,1,United States of America,1
